Doctor Code,Name of Doctor,1,2,3,4,SPOC,Website Link
AZ074BB8,Nadella Siva Kumar,Nadella,Siva,Kumar,,,https://vcc.zyla.in/Dr-Nadella-Siva-Kumar-AZ074BB8
AZC35F89,Aluri Sahaja,Aluri,Sahaja,,,,https://vcc.zyla.in/Dr-Aluri-Sahaja-AZC35F89
AZ457577,Pavuluri Madhav,Pavuluri,Madhav,,,,https://vcc.zyla.in/Dr-Pavuluri-Madhav-AZ457577
AZCFB762,Y Ramu,Y,Ramu,,,,https://vcc.zyla.in/Dr-Y-Ramu-AZCFB762
AZ1E2689,Sravan Kumar,Sravan,Kumar,,,,https://vcc.zyla.in/Dr-Sravan-Kumar-AZ1E2689
AZ5BEFB9,V Ridhika,V,Ridhika,,,,https://vcc.zyla.in/Dr-V-Ridhika-AZ5BEFB9
AZ19A179,K Venkataumakanth,K,Venkataumakanth,,,,https://vcc.zyla.in/Dr-K-Venkataumakanth-AZ19A179
AZ796BAA,G MuraliKrishna,G,MuraliKrishna,,,,https://vcc.zyla.in/Dr-G-MuraliKrishna-AZ796BAA
AZB866B0,Y Shiva Kumar,Y,Shiva,Kumar,,,https://vcc.zyla.in/Dr-Y-Shiva-Kumar-AZB866B0
AZ69B04F,Leburu Sudheer Reddy,Leburu,Sudheer,Reddy,,,https://vcc.zyla.in/Dr-Leburu-Sudheer-Reddy-AZ69B04F
AZC557AB,N.S. Ramachandra Gupta,N.S.,Ramachandra,Gupta,,,https://vcc.zyla.in/Dr-N.S.-Ramachandra-Gupta-AZC557AB
AZ650167,Shehzad Ruman,Shehzad,Ruman,,,,https://vcc.zyla.in/Dr-Shehzad-Ruman-AZ650167
AZA0B84C,Srinivas Kulkarni,Srinivas,Kulkarni,,,,https://vcc.zyla.in/Dr-Srinivas-Kulkarni-AZA0B84C
AZ85F372,M Sheetal Kumar,M,Sheetal,Kumar,,,https://vcc.zyla.in/Dr-M-Sheetal-Kumar-AZ85F372
AZ67417E,V V Ramkumar,V,V,Ramkumar,,,https://vcc.zyla.in/Dr-V-V-Ramkumar-AZ67417E
AZ16CACB,Sybal Dbritto,Sybal,Dbritto,,,,https://vcc.zyla.in/Dr-Sybal-Dbritto-AZ16CACB
AZ0BAAED,Rakesh Saigaonkar,Rakesh,Saigaonkar,,,,https://vcc.zyla.in/Dr-Rakesh-Saigaonkar-AZ0BAAED
AZ78022D,Subhash Sonawala,Subhash,Sonawala,,,,https://vcc.zyla.in/Dr-Subhash-Sonawala-AZ78022D
AZDA644C,Vishal Chopra,Vishal,Chopra,,,,https://vcc.zyla.in/Dr-Vishal-Chopra-AZDA644C
AZC128A7,S R Dube,S,R,Dube,,,https://vcc.zyla.in/Dr-S-R-Dube-AZC128A7
AZ5E0981,Nitin Patanker,Nitin,Patanker,,,,https://vcc.zyla.in/Dr-Nitin-Patanker-AZ5E0981
AZ8D7000,M Y Khanna,M,Y,Khanna,,,https://vcc.zyla.in/Dr-M-Y-Khanna-AZ8D7000
AZ0EB45A,Kapil Rathi,Kapil,Rathi,,,,https://vcc.zyla.in/Dr-Kapil-Rathi-AZ0EB45A
AZF4B380,Kirti Samudra,Kirti,Samudra,,,,https://vcc.zyla.in/Dr-Kirti-Samudra-AZF4B380
AZ441FCE,S S Duggal,S,S,Duggal,,,https://vcc.zyla.in/Dr-S-S-Duggal-AZ441FCE
AZ6A00F2,Seema Bagri,Seema,Bagri,,,,https://vcc.zyla.in/Dr-Seema-Bagri-AZ6A00F2
AZ6B9D5F,Indumati Kuberan,Indumati,Kuberan,,,,https://vcc.zyla.in/Dr-Indumati-Kuberan-AZ6B9D5F
AZ3F8C6F,Ashwin Bhosle,Ashwin,Bhosle,,,,https://vcc.zyla.in/Dr-Ashwin-Bhosle-AZ3F8C6F
AZ058D55,Kulin Shah,Kulin,Shah,,,,https://vcc.zyla.in/Dr-Kulin-Shah-AZ058D55
AZ6D188D,Rajesh Mishra,Rajesh,Mishra,,,,https://vcc.zyla.in/Dr-Rajesh-Mishra-AZ6D188D
AZFE21EE,Mehul Virani,Mehul,Virani,,,,https://vcc.zyla.in/Dr-Mehul-Virani-AZFE21EE
AZ1E8B6D,Shishir Patel,Shishir,Patel,,,,https://vcc.zyla.in/Dr-Shishir-Patel-AZ1E8B6D
AZ2062A6,Vatsal Gajera,Vatsal,Gajera,,,,https://vcc.zyla.in/Dr-Vatsal-Gajera-AZ2062A6
AZE843C9,Vinayak Bhanvadia,Vinayak,Bhanvadia,,,,https://vcc.zyla.in/Dr-Vinayak-Bhanvadia-AZE843C9
AZ5D7F80,Gaurav Chhaya,Gaurav,Chhaya,,,,https://vcc.zyla.in/Dr-Gaurav-Chhaya-AZ5D7F80
AZ7083A0,Bharat M Shah,Bharat,M,Shah,,,https://vcc.zyla.in/Dr-Bharat-M-Shah-AZ7083A0
AZB1BC84,Nikhil B Palrecha,Nikhil,B,Palrecha,,,https://vcc.zyla.in/Dr-Nikhil-B-Palrecha-AZB1BC84
AZC8E47D,Sandeep Desai,Sandeep,Desai,,,,https://vcc.zyla.in/Dr-Sandeep-Desai-AZC8E47D
AZBB7047,Umesh Vaghela,Umesh,Vaghela,,,,https://vcc.zyla.in/Dr-Umesh-Vaghela-AZBB7047
AZ855827,Sneha Nikte,Sneha,Nikte,,,,https://vcc.zyla.in/Dr-Sneha-Nikte-AZ855827
AZ930FFE,S Bandukwala,S,Bandukwala,,,,https://vcc.zyla.in/Dr-S-Bandukwala-AZ930FFE
AZ6C66B8,Amol Pawar,Amol,Pawar,,,,https://vcc.zyla.in/Dr-Amol-Pawar-AZ6C66B8
AZ1C856C,Anand Hinduja,Anand,Hinduja,,,,https://vcc.zyla.in/Dr-Anand-Hinduja-AZ1C856C
AZAF1509,Sajjan Mehta,Sajjan,Mehta,,,,https://vcc.zyla.in/Dr-Sajjan-Mehta-AZAF1509
AZ3267D8,Vismay Naik,Vismay,Naik,,,,https://vcc.zyla.in/Dr-Vismay-Naik-AZ3267D8
AZ49A6C9,Nitesh Patel,Nitesh,Patel,,,,https://vcc.zyla.in/Dr-Nitesh-Patel-AZ49A6C9
